t theta
6.122448979591837e-7 -0.09999999999575093
0.009201537616788803 -0.09922531350808841
0.018402462988679646 -0.09692473774141275
0.02760338836057049 -0.0931746211553107
0.03680431373246133 -0.08812319548009726
0.046005239104352176 -0.08201388733869133
0.05520616447624302 -0.0751973293549889
0.06440708984813387 -0.06811142582431355
0.0736080152200247 -0.06122290537159138
0.08280894059191554 -0.05495407254674862
0.09200986596380639 -0.04963234908441004
0.10121079133569724 -0.045479310245209514
0.11041171670758809 -0.04262741001926917
0.11961264207947894 -0.04114388088928012
0.1288135674513698 -0.04104812170348887
0.13801449282326061 -0.04231706000683745
0.14721541819515147 -0.04487733993039002
0.15641634356704232 -0.04858593070465062
0.16561726893893314 -0.05320581627668158
0.174818194310824 -0.058392210096486756
0.18401911968271484 -0.06371019296878239
0.1932200450546057 -0.06869191129052206
0.20242097042649654 -0.07291096706758286
0.2116218957983874 -0.07603557395604
0.22082282117027824 -0.07784174538473848
0.23002374654216906 -0.07819747247589243
0.2392246719140599 -0.07703896045757405
0.24842559728595076 -0.07435342813248211
0.2576265226578416 -0.07017442786773287
0.26682744802973246 -0.0645907684426229
0.2760283734016233 -0.05776667349902519
0.2852292987735141 -0.04996479759721182
0.294430224145405 -0.041554762717885475
0.30363114951729586 -0.03298712630908488
0.3128320748891867 -0.024730210950044455
0.3220330002610775 -0.017197705562171418
0.3312339256329684 -0.010703695219848042
0.3404348510048592 -0.00545709396824308
0.34963577637675003 -0.0015807095399045879
0.3588367017486409 0.0008653664341209525
0.36803762712053173 0.0018684897236524941
0.37723855249242255 0.0014610164086611946
0.38643947786431343 -0.00026867309290850666
0.39564040323620425 -0.0031543252432354217
0.4048413286080951 -0.00692822053679109
0.41404225397998595 -0.011214239358809913
0.4232431793518768 -0.015557755909498873
0.4324441047237676 -0.019492584221074204
0.4416450300956585 -0.022614001428354256
0.45084595546754935 -0.024621112207819817
0.4600468808394402 -0.02531925883676942
0.469247806211331 -0.024599260687561318
0.4784487315832219 -0.02241389752152068
0.48764965695511275 -0.018763396872006517
0.4968505823270036 -0.01369403537823288
0.5060515076988944 -0.007310056007466644
0.5152524330707853 0.00020436978504887382
0.524453358442676 0.0085631386532225
0.5336542838145669 0.01737504566671851
0.5428552091864578 0.026178054214311238
0.5520561345583486 0.034507707876923234
0.5612570599302394 0.04196699455479757
0.5704579853021303 0.048263520555550256
0.5796589106740211 0.05320838019769838
0.588859836045912 0.05669464246440342
0.5988346934915034 0.05877259249931578
0.6088095509370948 0.05908383049328212
0.6187844083826861 0.057699154804435195
0.6287592658282775 0.05478156549783023
0.6387341232738688 0.05062179024268643
0.6487089807194601 0.04566037240634155
0.6586838381650515 0.04046001404442654
0.6686586956106428 0.03561557678714023
0.6786335530562342 0.03164504856253043
0.6886084105018255 0.028924945106440676
0.6985832679474169 0.027688421764589768
0.7085581253930083 0.028057618454513832
0.7185329828385998 0.030076912042084184
0.7285078402841911 0.03372985344495357
0.7384826977297825 0.038934872315436186
0.7484575551753738 0.04552096800780421
0.7584324126209652 0.05319252710812712
0.7684072700665565 0.06150733921184981
0.7783821275121479 0.06990296393712477
0.7883569849577393 0.07778440688800684
0.7983318424033308 0.0846317603183248
0.8083066998489221 0.09006520050094972
0.8182815572945135 0.0938480190147521
0.8282564147401048 0.09585535217006177
0.8382312721856962 0.0960422427492155
0.8482061296312875 0.09442892263909866
0.8581809870768788 0.09110844431840891
0.8681558445224703 0.0862742943285154
0.8781307019680618 0.0802551377425864
0.8881055594136531 0.07352732986063977
0.8980804168592444 0.06667086524954903
0.9080552743048358 0.060269351222641564
0.9180301317504271 0.05480828255440774
0.9280049891960185 0.05062758466862911
0.9379798466416098 0.04793185619653624
0.9479547040872013 0.04682521595348924
0.9579295615327927 0.04734127401958713
0.9679044189783841 0.049455027959810084
0.9778792764239754 0.053073525935916646
0.9878541338695668 0.05800762586670401
0.9978289913151582 0.0639363300770965
1.0078038487607497 0.07039126387338632
1.017778706206341 0.07679596996205257
1.0277535636519324 0.08256340418346181
1.0377284210975237 0.08720027986732456
1.047703278543115 0.09035947528228752
1.0576781359887064 0.09183288418883279
1.0676529934342978 0.09151735016713371
1.077627850879889 0.08938504634527118
1.0876027083254804 0.08547300981373834
1.0975775657710718 0.07989516531570875
1.1075524232166631 0.07287281452316176
1.1175272806622545 0.06476771776974298
1.1275021381078458 0.05608555544286052
1.1374769955534372 0.04741888983081564
