t phi
6.122448979591837e-7 -1.1513517749207287e-11
0.009201537616788803 -0.0020994881841133206
0.018402462988679646 -0.008338302827129983
0.02760338836057049 -0.018519474444644413
0.03680431373246133 -0.032250544002033
0.046005239104352176 -0.048868473974937446
0.05520616447624302 -0.0673915365693269
0.06440708984813387 -0.08656071024495182
0.0736080152200247 -0.10499776095749916
0.08280894059191554 -0.12141926082327191
0.09200986596380639 -0.13479717349122033
0.10121079133569724 -0.1444093440538822
0.11041171670758809 -0.14980634658076317
0.11961264207947894 -0.15075158974683234
0.1288135674513698 -0.1471754204424091
0.13801449282326061 -0.1391608917739754
0.14721541819515147 -0.1269652019303737
0.15641634356704232 -0.1110714521332778
0.16561726893893314 -0.09224974347689142
0.174818194310824 -0.07158197814591588
0.18401911968271484 -0.05039277878404533
0.1932200450546057 -0.030070859228708082
0.20242097042649654 -0.011853130001320742
0.2116218957983874 0.0033178243400213544
0.22082282117027824 0.014816696873009575
0.23002374654216906 0.022277840683566204
0.2392246719140599 0.025520107153024815
0.24842559728595076 0.024494742708817845
0.2576265226578416 0.019271916814200728
0.26682744802973246 0.010068653225701017
0.2760283734016233 -0.002687477514939916
0.2852292987735141 -0.018281204684476422
0.294430224145405 -0.03566892061388441
0.30363114951729586 -0.053537632137284
0.3128320748891867 -0.07048052909519752
0.3220330002610775 -0.08521474196621347
0.3312339256329684 -0.09673114737154835
0.3404348510048592 -0.10433132296865866
0.34963577637675003 -0.10758735852507328
0.3588367017486409 -0.10628237401740127
0.36803762712053173 -0.10036992987111308
0.37723855249242255 -0.08996798810580302
0.38643947786431343 -0.07538989263520766
0.39564040323620425 -0.057203568527691616
0.4048413286080951 -0.036290309193069525
0.41404225397998595 -0.013848444480959834
0.4232431793518768 0.008713309892419504
0.4324441047237676 0.029984561919949346
0.4416450300956585 0.048766250082487424
0.45084595546754935 0.06418255189767996
0.4600468808394402 0.0756731092467394
0.469247806211331 0.08292131431402662
0.4784487315832219 0.08577980816931788
0.48764965695511275 0.0842262220445317
0.4968505823270036 0.07835990976505403
0.5060515076988944 0.06844038157310416
0.5152524330707853 0.05495936889794933
0.524453358442676 0.03871878525813509
0.5336542838145669 0.020857825359937646
0.5428552091864578 0.002767297720020679
0.5520561345583486 -0.014109437332626604
0.5612570599302394 -0.028496533807936684
0.5704579853021303 -0.039418662972214184
0.5796589106740211 -0.046219182047956844
0.588859836045912 -0.048510596241928196
0.5988346934915034 -0.04569913812484293
